x,y,name,biome
0,0,"Spawn point",grass
-953,1800,potion town,town
-452,1370,snow mountain,snow
-1000,870,two mountain river empire,jungle
-820,1340,B.P cow farm,stone
-860,1200,B.P waterfalls,jungle
-1200,1100,Bamboo fort,jungle
-1480,660,farm cavern mineshaft,mine
-900,1902,cave mining mini camp,mine
5410,1324,interstellar snow mountains,snow
-30,-750,waterloo,jungle
-33,-820,lava base
-1458,-776,lava falls
-3877,934,pirateship,
-3280,815,"new home"
-1183,759,lava cave
-1018,845,"new home"
-2015,220,village #2
-992,158,river mine
-1038,106,monster island
-201,578,glass cave
-570,1350,village pumpkin?